0.117748 0.0321922 1.18442e-05 1.45727e-05 4.45959e-06 3.93463e-06 7.11391e-06 5.86439e-06 2.30899e-05 1.64533e-05 5.75592e-06 1.20943e-06 8.69201e-06 5.66085e-06 5.21842e-07 4.86059e-06 1.25793e-06 8.99398e-06 1.10717e-05 1.9927e-06 5.69576e-06 9.55095e-06 1.28016e-05 5.97693e-06 5.95119e-06 1.16897e-05 1.36144e-05 1.43089e-05 3.74465e-06 7.3388e-06 5.14315e-05 0.0331894
0.0298159 0.00802691 4.81794e-07 2.11746e-05 1.27988e-07 1.81821e-05 1.38498e-05 5.20028e-06 1.52781e-06 1.57006e-06 5.60815e-07 5.19602e-06 3.94891e-06 3.70669e-07 6.11288e-06 1.35659e-05 4.43259e-06 7.04358e-06 6.18699e-06 4.66351e-06 2.79292e-06 8.70684e-06 1.58816e-05 5.17388e-06 6.42864e-06 1.74026e-05 2.63418e-05 2.36044e-05 2.26437e-05 7.61527e-05 1.71641e-05 0.00819081
4.82626e-06 2.41732e-06 7.78866e-06 1.43935e-05 1.13577e-06 1.04283e-05 6.48182e-06 1.2025e-05 7.17074e-06 2.83077e-06 4.56574e-06 5.38475e-06 1.15291e-05 1.72203e-05 2.3331e-05 1.76369e-05 9.7549e-06 5.66421e-06 9.4408e-06 1.09846e-05 1.03995e-05 3.94221e-06 9.59296e-06 4.59463e-06 4.89257e-06 5.55245e-06 1.19819e-05 7.5067e-06 0.000575865 0.00449295 0.00293438 8.25055e-05
1.09441e-05 5.48098e-06 1.70922e-06 4.13236e-07 1.58485e-06 1.37617e-05 3.36659e-05 2.59613e-05 1.16644e-06 5.78358e-06 1.78186e-06 1.36055e-06 4.69668e-06 1.80734e-05 1.01286e-05 4.77297e-06 2.87715e-06 1.23312e-05 1.88805e-05 1.18675e-05 7.37276e-06 8.03947e-06 7.45694e-06 8.53621e-06 1.01515e-05 7.54709e-06 1.0457e-05 2.10849e-06 0.00116159 0.00870589 0.00558523 0.000169819
2.98187e-05 2.86354e-05 1.25549e-05 1.08595e-05 3.91515e-07 1.718e-05 2.51787e-05 9.05779e-06 5.27681e-08 9.37098e-06 4.00582e-06 2.4625e-06 1.51263e-06 9.45105e-07 1.59072e-06 3.4325e-06 1.02762e-05 9.08784e-06 6.45524e-06 8.78798e-06 1.36299e-05 2.76988e-05 2.07402e-05 1.60075e-05 2.97185e-05 1.88274e-05 7.83034e-06 4.34365e-06 0.000183419 0.00100857 0.000664956 2.95892e-05
1.95292e-05 7.33295e-06 2.20645e-06 1.59199e-05 1.45831e-05 4.67508e-06 8.5578e-06 3.7061e-06 1.79702e-06 1.3758e-07 1.23456e-07 7.59957e-06 6.88669e-06 3.2857e-06 1.77846e-06 2.19309e-06 1.06566e-05 4.06401e-06 5.95914e-06 8.19187e-06 6.37504e-06 6.8387e-06 6.50956e-06 2.88081e-05 3.40343e-05 1.75677e-05 1.08067e-05 9.02568e-06 4.07984e-06 1.35634e-05 6.79928e-06 7.95852e-06
1.55966e-05 4.62718e-06 1.58451e-05 2.38574e-05 1.48134e-05 3.96316e-07 9.09653e-06 9.05236e-06 9.87872e-07 2.1689e-06 1.45846e-05 2.52838e-05 6.66457e-06 4.66332e-06 1.46943e-05 8.22885e-06 6.68721e-06 7.63493e-06 6.58925e-06 5.66878e-06 2.98881e-08 1.01716e-05 5.05806e-05 5.95831e-05 2.24855e-05 9.13747e-06 1.50171e-05 5.08591e-06 4.66551e-06 9.97371e-06 7.05435e-06 1.44016e-05
1.4552e-05 2.80926e-06 2.2495e-05 9.2151e-06 1.37461e-06 7.8964e-07 1.73138e-05 1.98277e-05 1.98218e-07 2.26444e-06 8.63661e-06 2.71096e-06 2.48626e-07 1.44071e-05 2.26124e-05 5.14494e-06 3.22556e-06 6.75616e-06 1.19461e-05 1.08647e-05 2.07186e-07 1.23752e-05 4.88805e-05 2.70755e-05 2.10327e-06 6.28765e-06 1.85772e-05 1.74517e-05 1.26821e-05 6.21677e-06 2.08033e-05 2.64712e-05
8.5246e-07 8.30932e-07 4.22854e-06 1.41279e-06 2.649e-08 3.01865e-06 5.41497e-06 7.52411e-06 2.8929e-06 2.62396e-06 7.16008e-06 5.9138e-06 1.10048e-05 2.04497e-05 1.2737e-05 1.28574e-05 4.30662e-05 4.72114e-05 2.07005e-05 3.94488e-06 3.99605e-06 5.50472e-06 6.04486e-06 1.98272e-06 8.8784e-06 1.32099e-05 2.00804e-05 1.51198e-05 2.14515e-05 6.21645e-06 3.51199e-07 1.16037e-06
1.84422e-05 1.0232e-06 7.97063e-07 5.80909e-07 1.57825e-08 4.81106e-06 5.75891e-06 4.35571e-06 1.19528e-05 1.00875e-05 1.21092e-05 1.18331e-05 2.52601e-05 3.93767e-05 2.78505e-05 1.50323e-05 3.84309e-05 4.48213e-05 1.19391e-05 8.91723e-07 1.89223e-06 1.69444e-06 9.18428e-07 5.86536e-06 2.14104e-05 2.21431e-05 1.70686e-05 8.82351e-06 6.16214e-06 5.50203e-06 9.78921e-06 3.74067e-05
