81 14 0.341919 0.343215 -0.0586173 0.0585935
82 14 0.34279 0.343215 -0.0585199 0.0585935
82 15 0.342589 0.343215 -0.0582555 0.0585935
83 14 0.34259 0.343215 -0.0585996 0.0585935
83 15 0.342601 0.343215 -0.0586295 0.0585935
83 16 0.342598 0.343215 -0.0586068 0.0585935
83 17 0.342619 0.343215 -0.0585849 0.0585935
84 14 0.342597 0.343215 -0.058591 0.0585935
84 15 0.342592 0.343215 -0.058596 0.0585935
84 16 -0.726249 0.343215 1.22688 0.0585935
84 17 0.342606 0.343215 -0.05859 0.0585935
85 14 0.342596 0.343215 -0.0585908 0.0585935
85 15 0.342591 0.343215 -0.0585942 0.0585935
85 16 0.342592 0.343215 -0.0585875 0.0585935
85 17 0.342603 0.343215 -0.0585891 0.0585935
86 14 0.342587 0.343215 -0.0585995 0.0585935
86 15 0.34259 0.343215 -0.0585925 0.0585935
86 16 -0.726243 0.343215 1.22701 0.0585935
86 17 0.34259 0.343215 -0.0585706 0.0585935
87 14 0.342755 0.343215 -0.0584957 0.0585935
87 15 0.342559 0.343215 -0.0585948 0.0585935
88 14 0.341954 0.343215 -0.0587238 0.0585935
177 15 0.675773 0.343215 -0.641328 0.0585935
