simTime	Grav	Gmax	dvta	tgo_aim	UTAA_X	UTAA_Y	UTAA_Z	WOEA_X	WOEA_Y	WOEA_Z
1.030000	9.789013	59.741930	131.250000	0.130690	0.918081	0.390471	-0.068258	0.004284	0.535850	3.130136
1.032000	9.789013	59.911470	131.250000	0.128904	0.915660	0.395948	-0.069222	0.004429	0.552976	3.229354
1.034000	9.789013	60.080978	131.250000	0.127133	0.913113	0.401614	-0.070218	0.004581	0.570891	3.333144
1.036000	9.789013	60.250454	131.250000	0.125377	0.910447	0.407445	-0.071240	0.004739	0.589641	3.441773
1.038000	9.789013	60.419895	131.250000	0.123637	0.907653	0.413450	-0.072282	0.004906	0.609274	3.555524
1.040000	9.789013	60.589301	131.250000	0.121914	0.904719	0.419644	-0.073370	0.005080	0.629844	3.674704
1.042000	9.789013	60.758669	140.625000	0.120209	0.901635	0.426035	-0.074490	0.005263	0.651405	3.799635
1.044000	9.789014	60.927999	140.625000	0.118522	0.898403	0.432607	-0.075653	0.005454	0.674018	3.930665
1.046000	9.789014	61.097289	140.625000	0.116854	0.894994	0.439410	-0.076837	0.005656	0.697746	4.068162
1.048000	9.789014	61.266537	-150.000000	0.115207	0.891408	0.446429	-0.078057	0.005867	0.722658	4.212523
1.050000	9.789014	61.435743	-150.000000	0.113582	0.887632	0.453671	-0.079323	0.006089	0.748827	4.364167
1.052000	9.789014	61.604904	-150.000000	0.111980	0.883656	0.461141	-0.080629	0.006323	0.776328	4.523543
1.054000	9.789014	61.774020	-140.625000	0.110403	0.879460	0.468859	-0.081983	0.006568	0.805246	4.691131
1.056000	9.789014	61.943090	-140.625000	0.108853	0.875026	0.476842	-0.083377	0.006827	0.835668	4.867439
1.058000	9.789014	62.112099	-140.625000	0.107330	0.870347	0.485079	-0.084820	0.007099	0.867687	5.053012
1.060000	9.789014	62.281016	-140.625000	0.105837	0.865404	0.493587	-0.086307	0.007386	0.901404	5.248424
1.062000	9.789014	62.449819	-140.625000	0.104377	0.355975	-0.203151	0.912147	0.007688	0.936923	5.454287
1.064000	9.789014	62.618506	-140.625000	0.102951	0.854626	0.511483	-0.089439	0.008006	0.974356	5.671251
1.066000	9.789015	62.787077	-140.625000	0.101562	0.848755	0.520884	-0.091078	0.008342	1.013822	5.900002
1.068000	9.789015	62.955529	-150.000000	0.100214	0.842530	0.530601	-0.092773	0.008696	1.055447	6.141265
1.070000	9.789015	63.123862	-140.625000	0.098909	0.835922	0.540647	-0.094531	0.009070	1.099360	6.395802
1.072000	9.789015	63.292072	-140.625000	0.097651	0.828910	0.551022	-0.096351	0.009465	1.145701	6.664414
1.074000	9.789015	63.460161	-140.625000	0.096444	0.821458	0.561746	-0.098224	0.009881	1.194614	6.947935
1.076000	9.789015	63.628124	-140.625000	0.095293	0.813528	0.572837	-0.100154	0.010321	1.246247	7.247231
1.078000	9.789015	63.795963	-140.625000	0.094203	0.805091	0.584286	-0.102169	0.010786	1.300755	7.563196
1.080000	9.789015	63.963674	-140.625000	0.093180	0.796113	0.596104	-0.104234	0.011276	1.358297	7.896744
1.082000	9.789015	64.131256	-140.625000	0.092230	0.786528	0.608326	-0.106367	0.011794	1.419031	8.248804
1.084000	9.789015	64.298709	-140.625000	0.091362	0.513844	-0.293444	0.806136	0.012341	1.483118	8.620300
1.086000	9.789015	64.466031	-140.625000	0.090585	0.513844	-0.293444	0.806136	0.012917	1.550714	9.012143
1.088000	9.789015	64.633221	-140.625000	0.089908	0.513844	-0.293444	0.806136	0.013525	1.621972	9.425209
1.090000	9.789016	64.800277	131.250000	0.089343	0.741412	0.661019	-0.115592	0.014165	1.697031	9.860313
